date,temperature,pH,O2,NTU,uS
2020-01-11 20,12.4,7.9,12.34,6,212.4
2020-01-11 21,12.3,7.89,12.69,6.6,212.6
2020-01-11 22,12.4,7.89,12.81,6.7,212.7
2020-01-11 23,12.4,7.88,12.89,6.5,212.6
2020-01-12 00,12.4,7.88,12.21,5.9,212.4
2020-01-12 01,12.2,7.87,12.65,6.8,213
2020-01-12 02,12.3,7.87,12.77,6.8,212.9
2020-01-12 03,12.3,7.88,12.64,6.4,212.7
2020-01-12 04,12.4,7.86,11.9,5.8,212.6
2020-01-12 05,12.2,7.86,12.54,6.2,212.8
2020-01-12 06,12.3,7.86,12.97,7.3,212.9
2020-01-12 07,12.2,7.86,12.64,6.3,213.2
2020-01-12 08,12.4,7.85,11.83,5.8,212.8
2020-01-12 09,12.1,7.96,12.9,8.6,213.3
2020-01-12 10,12,8.04,13.61,9.3,211.9
2020-01-12 11,12.1,8.05,13.43,9,210.9
2020-01-12 12,12,8.07,13.04,7.2,210.4
2020-01-12 13,11.9,8.07,13.71,8.5,210.6
2020-01-12 14,12.2,8.06,13.35,8.7,210.5
2020-01-12 15,12.2,8.05,13.41,8.9,210.6
2020-01-12 16,12.1,8.04,12.93,7.4,210.6
2020-01-12 17,12,8.01,13.45,8.3,211
2020-01-12 18,12.1,8.01,13.48,9.1,210.9
2020-01-12 19,12.1,8.01,13.24,8,211.1
2020-01-12 20,12.1,7.99,12.75,7.2,210.9
2020-01-12 21,11.9,7.98,13.21,7.9,211.4
2020-01-12 22,12.1,7.98,13.19,8.2,211.2
2020-01-12 23,12.1,7.97,13.2,7.9,211.6
2020-01-13 00,12.1,7.96,12.8,7.1,211.3
2020-01-13 01,11.9,7.95,13.24,7.6,211.9
2020-01-13 02,12,7.95,13.42,8,211.9
2020-01-13 03,11.9,7.94,13.19,7.7,211.8
2020-01-13 04,12,7.93,12.49,6.5,211.5
2020-01-13 05,11.8,7.92,13.26,7.3,211.8
2020-01-13 06,11.8,7.92,13.25,7.8,212
2020-01-13 08,12,7.92,12.34,6.4,211.7
2020-01-13 09,11.8,7.91,12.82,6.9,212.2
2020-01-13 10,11.9,7.91,12.82,7,212.1
2020-01-13 11,12.1,7.91,12.92,7,211.9
2020-01-13 12,12.2,7.9,12.49,6.5,211.8
2020-01-13 13,12.1,7.9,12.81,6.9,211.9
2020-01-13 14,12.2,7.89,12.8,7.3,211.9
2020-01-13 15,12.3,7.89,12.72,6.8,211.9
